,artistid,popular
4,1656,3577
31,3947,489
122,1770,158
133,9714,658
152,7974,819
194,14462,214
233,435,16770
279,8361,235
304,74,3486
335,242,17427
403,5878,9023
425,18085,46
484,61,16955
492,879,4784
569,1801,1602
586,341,14356
613,18791,404
627,7622,1006
637,7926,556
644,30313,69
678,21881,65
855,4210,5460
868,24567,163
961,14638,83
977,3805,937
982,1875,6598
1057,19910,263
1179,1433,1821
1269,16934,115
1309,52218,18
1317,7891,260
1355,5267,1257
1385,21842,200
1488,24750,168
1492,4704,2652
1502,38132,27
1579,1340,27112
1593,8697,881
1613,21019,104
1628,51216,4
1630,1667,165
1662,8873,348
1665,6579,1110
1682,4884,12613
1760,91769,4
1791,110,67520
1865,8499,845
1875,2657,2928
1916,11854,295
1928,2735,2932
1977,13405,462
2038,8469,2248
2066,637,2672
2075,6073,2580
2105,21738,163
2131,14416,191
2165,5037,4704
2166,31232,169
2184,6503,478
2227,4206,1340
2229,32782,81
2323,6359,806
2355,4300,2441
2374,20254,23
2506,1156,10103
2608,7346,68
2686,139,20566
2698,10070,1356
2724,3381,361
2727,245,13448
2728,3676,3611
2777,3599,1628
2808,91,945
2846,1812,4093
2873,18949,628
3001,455,3117
3004,52084,149
3009,572,666
3014,975,1453
3094,1276,3376
3100,14245,321
3119,2382,1356
3143,3394,1305
3197,10876,98
3304,17547,228
3333,6127,428
3414,3129,2555
3435,25211,324
3476,4498,92
3657,2464,4551
3705,48276,36
3707,3472,1040
3760,4404,3537
3818,1576,3944
3832,9036,485
3836,2912,567
3842,13336,688
3858,14622,203
3955,49241,62
3960,14079,336
4022,2665,10917
4082,17026,321
4083,11628,301
4160,101,102574
4185,2118,2626
4217,32002,216
4347,1679,907
4366,7158,685
4399,3386,420
4486,183,5499
4513,5297,6946
4592,24133,32
4633,3307,1473
4673,943,6532
4806,8442,328
4825,97094,6
4850,22311,125
4862,4624,6692
4895,428,15855
4919,9,57644
4928,1005,2215
4942,6617,426
4967,11564,595
4972,8227,370
5012,8447,169
5086,19424,361
5128,17212,8
5172,38201,100
5180,5539,1749
5329,8921,697
5356,2087,3695
5375,3046,4804
5376,9670,446
5464,8237,1599
5478,36,11037
5596,1694,8562
5601,2484,3486
5621,2734,152
5656,3556,1342
5667,14919,587
5758,444,1792
5763,107,12377
5786,2756,280
5816,3505,2361
5878,3262,3337
6008,119,14977
6102,1036,15657
6124,5258,276
6362,2397,3555
6439,8356,605
6442,3866,4220
6496,2675,4709
6631,2805,2120
6665,37467,86
6677,3579,1280
6807,1308,4019
6838,252,8743
6859,13828,100
6892,2436,850
6897,5938,1173
6957,178,7501
6980,44416,14
6994,5199,440
7033,2296,717
7062,15,41133
7100,3158,9434
7136,1975,1109
7255,6969,464
7259,1559,2879
7276,13945,207
7294,230,1054
7304,2561,3951
7313,1852,3704
7325,631,15953
7345,1943,4060
7460,4977,554
7509,5761,476
7588,10696,1963
7610,2336,9829
7628,3126,3402
7632,872,8958
7634,5172,4190
7679,3615,2234
7706,6214,2077
7739,6928,606
7741,23875,22
7797,6062,1521
7886,5552,1162
7913,41293,19
7919,12881,135
7938,23845,71
7957,3426,2478
8000,2917,6768
8040,13625,172
8080,1101,30477
8099,4523,528
8103,36833,19
8193,86227,4
8213,127261,3
8250,78,11851
8296,16044,67
8317,28641,79
8333,911,3959
8409,26092,149
8433,7487,23
8436,45,41174
8447,1962,2703
8517,17037,719
8662,6211,3770
8714,1324,5992
8941,2808,6752
8946,58,16505
8949,1977,2524
8966,1080,5084
9005,6593,630
9055,10052,197
9056,328,2730
9083,368,35912
9104,3749,2345
9180,7342,78
9214,152,2317
9230,14458,342
9264,6521,826
9299,10462,133
9345,29898,138
9364,26608,38
9366,4557,806
9373,4126,60
9420,1631,13076
9425,6227,325
9518,10650,82
9570,4660,1379
9611,80723,34
9618,4409,680
9691,2764,2058
9716,8967,528
9749,2576,1056
9775,1955,6683
9796,12062,127
9822,8328,469
9852,2585,1306
9962,3506,951
9975,3217,783
10010,639,28915
10045,5665,1263
10057,168588,2
10116,5436,30
10125,819,1889
10127,4632,679
10302,16100,551
10324,7217,129
10358,134,12115
10401,2409,6375
10569,7000,400
10571,15904,504
10609,18193,139
10610,267,3183
10624,424,1789
10631,9479,1027
10682,6892,1234
10745,1740,4543
10792,10689,540
10793,10997,218
10809,28156,38
10818,2786,3251
10828,75309,22
10831,661,3153
10857,1085,24476
10886,2830,10421
10915,13201,41
10971,907,5235
11019,3414,9129
11028,7149,859
11046,6997,1825
11051,554,283
11092,3521,625
11183,17438,322
11191,17707,251
11206,9644,50
11215,1870,15131
11216,5720,2739
11229,380,6312
11250,1682,332
11391,313,11801
11395,7453,98
11416,176,5555
11426,146,3104
11465,290,25670
11483,12476,74
11496,35222,60
11566,4958,1626
11716,4139,328
11882,11384,495
11942,906,9888
12073,3956,123
12170,2722,4092
12216,5155,102
12244,873,1597
12267,2361,280
12289,18109,64
12314,2230,8935
12358,21670,51
12421,12927,559
12443,11603,384
12453,21293,335
12478,43003,162
12510,8260,118
12666,112,10967
12753,5631,292
12780,2219,4495
12815,2548,2318
12823,4693,1311
12856,14302,639
12881,1717,4275
12916,66594,14
12920,9098,319
13087,7312,693
13120,5038,485
13168,19505,342
13178,333,6426
13191,14756,424
13194,6576,1039
13211,2812,2263
13251,1806,8272
13350,26640,112
13423,5947,1733
13439,9002,574
13550,39398,67
13579,1889,2042
13582,10190,125
13599,16377,701
13605,1908,1070
13609,6337,643
13659,3360,76
13679,18133,60
13794,8788,88
13832,26469,180
13875,2707,3156
13882,30248,72
13959,195,7697
13987,4587,374
13995,21203,98
13996,11392,441
14021,16826,433
14025,5310,210
14045,23433,72
14067,28348,77
14087,32972,82
14199,532,267
14236,211,2624
14246,13317,67
14272,15868,351
14340,3504,5639
14358,1827,3791
14365,37880,42
14366,2303,1907
14413,970,297
14414,3374,72
14433,841,1547
14446,10984,565
14447,2887,1679
14521,1341,5201
14522,2329,643
14528,2521,4618
14580,3173,412
14617,27565,86
14718,14595,334
14829,3236,3280
14841,7801,48
14854,7042,1196
14869,8365,2658
14953,5308,1163
14981,23813,49
15013,2507,173
15106,20862,583
15122,21,3445
15229,12267,452
15275,28583,26
15310,44964,27
15327,19893,71
15342,29398,95
15347,1824,3577
15371,1403,2612
15407,3106,3315
15423,4651,3372
15488,6106,304
15553,71250,22
15555,16438,586
15584,8197,260
15595,12380,154
15608,61247,17
15616,25825,29
15650,20734,44
15665,21510,206
15667,1443,9989
15731,113,37262
15756,7079,354
15781,635,30178
15836,5516,2183
15837,1902,14477
15841,875,3094
15899,4157,125
15917,1535,3680
15972,39600,13
16015,15389,366
16016,4345,294
16018,1701,13153
16068,4137,338
16078,2213,1438
16095,5349,1059
16124,8232,1250
16125,2498,5200
16148,3735,780
16271,4833,487
16353,950,2926
16405,8248,146
16467,312,28833
16469,136,18754
16475,10015,398
16481,2838,1016
16514,7259,177
16516,4514,5119
16577,26366,125
16638,30043,93
16681,20036,372
16691,20251,81
16719,2693,2351
16875,2238,2588
16877,43607,27
16890,4185,173
17075,16140,285
17116,5898,715
17154,14677,50
17290,21035,81
17370,3598,123
17375,1988,904
17513,14392,384
17540,16992,937
17548,9869,128
17621,2495,1309
17733,2138,8790
17738,17550,414
17740,3228,8639
17760,4700,2945
17849,23383,125
17861,14735,1194
17866,1173,2755
17923,26123,78
17951,13580,109
17967,5955,34
18074,646,50574
18081,1211,2923
18094,16493,242
18105,3114,1052
18136,528,186
18167,4440,406
18181,18638,1807
18197,8744,323
18210,3409,6005
18288,408,6207
18321,6919,819
18382,17691,139
18448,1031,6850
18488,1907,4615
18837,12959,822
18909,1238,6153
18936,11452,68
18943,8724,1059
18964,14127,429
18992,1452,8017
19082,1248,3523
19087,23615,107
19100,18580,503
19125,22848,234
19222,18324,1100
19232,2255,8415
19235,11387,295
19313,22675,16
19341,4337,351
19390,5616,693
19402,1275,15641
19408,5886,1543
19447,9144,326
19450,351,1256
19470,330,8231
19507,23258,285
19554,9852,615
19609,8405,192
19617,29312,61
19639,74103,8
19665,4602,278
19774,254,14818
19864,2334,4341
19882,648,6780
20078,257,41931
20087,7664,552
20165,1331,16217
20265,1797,10357
20302,3466,15246
20315,433,1763
20320,7320,1321
20381,1823,10986
20398,22390,364
20409,98960,8
20415,1037,4810
20574,1068,592
20671,4212,757
20696,2574,1332
20711,2725,1141
20720,618,6834
20731,8876,2384
20802,12507,209
20840,40372,82
20893,15425,530
20904,5288,1175
21008,3724,4665
21048,14157,108
21104,1109,3634
